id,target
0,7.658645
5,7.7492924
15,7.6236978
16,7.475617
17,7.3481603
19,7.485068
20,7.2663226
21,7.8217115
23,7.332042
29,7.4375224
31,7.252774
32,7.412226
33,7.5155544
34,7.652321
35,7.9256864
37,7.515006
38,7.342806
39,7.6742215
40,7.5005517
44,7.330714
49,7.789931
53,7.8890443
56,7.496814
60,7.8801546
61,7.1717553
63,6.590023
64,7.62614
66,7.2960925
70,7.544813
71,7.0287676
72,7.276969
75,7.5091505
76,7.4015827
78,7.4652143
85,7.3783774
86,6.9761186
89,7.715985
90,7.3765454
92,7.537565
93,7.282892
94,7.4846883
100,7.4958243
101,7.8022084
102,7.7075267
105,6.913053
106,7.569938
107,7.269559
108,7.802164
109,7.777308
112,7.479348
113,7.9608855
116,7.6002254
117,7.3045115
118,7.616413
120,7.533768
129,7.076262
130,7.29173
132,7.440567
133,7.8505917
134,7.478108
136,7.337854
137,7.7877564
141,7.0086584
142,7.712289
152,7.6456075
154,7.66592
156,7.280075
160,7.39566
161,7.4161687
166,7.033718
170,7.5527306
173,7.3273377
174,7.7755523
175,7.51428
179,7.511838
182,7.28739
186,7.091068
188,7.538849
189,7.1829724
191,7.905507
193,7.164526
194,7.5006976
195,7.754389
196,7.7488523
197,7.629779
199,7.607149
200,7.2079268
202,7.0770483
203,7.9438434
204,7.0980935
206,7.7322345
207,7.4280972
212,7.497543
217,7.7721877
218,7.5272746
220,7.3217206
224,7.7442408
225,7.455066
229,7.4912257
230,7.8123794
234,7.487041
235,7.5017686
238,7.7098174
239,7.6026497
241,7.4207435
243,7.3148403
245,7.2680206
247,7.513177
251,7.410796
252,7.194625
253,7.5701303
255,7.6526847
256,7.248005
258,7.6532063
259,7.400974
260,7.340315
263,7.477916
264,7.373103
266,7.410963
267,7.38035
268,6.9111414
270,7.223287
273,7.451536
274,7.4416237
275,8.388081
276,7.4849806
277,7.670655
281,7.4207582
282,7.4482956
285,7.544981
292,7.346428
293,7.344278
295,7.723768
298,7.3790956
299,7.558167
300,7.6101775
301,7.6073666
302,7.4672637
309,7.7775974
311,7.5313687
316,7.3095098
317,7.3194485
319,7.8323436
321,7.0762897
322,8.058895
324,7.6472034
328,7.9569573
329,8.051173
331,7.1417737
334,7.411665
337,7.1361375
338,7.2462134
340,7.178556
344,7.9330106
349,7.9914055
350,7.4910126
351,7.3557568
354,7.6199927
356,7.530694
358,7.534358
361,7.5331283
364,7.594657
365,7.3340597
370,7.5644794
372,7.1483397
374,7.362911
375,7.2828417
376,7.4500127
379,7.2493105
380,7.61151
382,7.391254
383,7.5160513
385,7.192052
389,7.0143123
392,7.172169
394,7.5198693
395,7.6239004
398,7.5352974
400,7.6482263
402,7.767194
403,6.845916
406,8.269568
410,8.055842
412,7.5275965
413,7.572118
417,7.5043874
418,8.035519
419,7.2391133
420,7.1313148
423,7.199624
424,7.6426682
426,7.7573724
427,7.5313034
432,8.201439
434,7.4309573
438,7.2614565
441,7.3052473
443,7.215421
448,7.1095653
449,7.5762234
451,7.344664
452,7.526699
457,7.61466
458,8.018668
459,7.5013804
464,7.6476912
465,7.724287
467,7.523917
471,7.4079485
472,7.4991627
477,7.5626407
478,7.495868
480,7.378585
483,7.507342
487,6.6604047
489,7.7125626
491,7.6409373
492,7.2074757
496,7.475023
500,7.3588896
501,7.540224
502,7.713929
503,7.587616
505,7.4262853
506,7.521525
514,7.478829
517,7.479359
519,7.0859966
522,7.2530265
523,7.769673
528,7.810534
530,7.177425
532,6.710596
535,7.257979
538,7.2255983
542,7.0480604
546,7.3247137
548,7.6390285
550,7.799624
555,7.5706754
557,7.6786633
559,7.666949
560,7.1651545
562,7.3466225
566,6.997522
567,7.4056087
569,7.1838536
571,8.391362
572,7.1829615
574,7.430389
577,7.352435
581,7.4195595
583,7.1651382
587,6.7318897
590,6.7998743
592,7.5798225
593,7.7395196
608,7.438812
612,7.140584
614,7.622196
616,7.428527
617,7.313926
625,7.027414
626,7.8404155
631,7.440854
633,7.4667974
636,7.7174416
639,7.526565
641,6.924413
642,7.900422
644,7.9977646
645,7.912503
646,7.2984033
647,7.5412326
649,7.1733303
650,7.3812
651,7.2883835
653,7.317897
655,7.684405
656,7.477728
662,7.673892
669,7.5085654
670,7.6928253
673,7.9219155
674,7.3660436
675,7.0574408
685,7.0445895
688,8.065847
689,6.7418184
690,7.361048
691,7.348733
696,7.1431923
698,7.6036935
700,7.213214
701,7.394188
702,7.6650834
703,7.363153
704,7.5136786
706,7.4993567
708,7.4688516
716,7.491981
717,7.824279
718,7.5137625
719,7.572592
720,7.4357367
721,7.9527946
723,6.752547
725,7.7978873
726,6.6226897
728,7.408372
730,7.423317
731,7.561873
734,7.04143
736,7.8611317
739,7.3913193
743,6.7765055
747,7.12288
749,7.5151863
752,7.060906
759,7.676728
763,7.4813633
764,7.232446
765,7.1981716
766,7.849736
769,7.499241
776,7.465781
778,6.836107
783,7.2873626
784,7.2530007
787,7.362653
791,7.45857
792,7.7355742
796,7.6924353
799,7.059103
800,7.42945
801,7.312311
803,7.3782196
804,7.0358253
805,7.5096593
806,7.1295924
807,7.3057194
809,8.053702
811,7.978434
813,8.012264
814,7.820679
815,7.4025583
816,7.99919
818,7.30449
822,7.328734
828,7.295477
831,6.9557366
832,7.176213
834,7.7875094
835,7.5007043
836,7.5696545
838,7.8218417
839,7.612061
842,6.970107
845,7.8786926
846,7.5746303
848,7.3136077
852,7.152179
856,7.209569
857,7.682423
860,7.3217
869,7.2280655
871,8.022057
876,7.3842764
885,6.77359
887,7.4582014
888,7.582737
889,7.690954
891,7.6004014
895,7.766696
902,7.527892
903,7.6421027
905,7.6075826
907,7.340544
908,7.1189694
909,7.8699822
910,6.7488227
911,7.8333073
913,6.9193063
914,7.657029
916,7.274546
917,7.5554037
919,7.294629
923,7.593035
924,7.5397863
925,7.4757566
926,7.4504967
929,7.5892005
930,7.7305946
931,7.406452
936,7.3988624
937,7.513825
947,7.2180552
949,6.2927594
952,7.1359468
955,7.2189593
956,7.6182704
961,7.5630007
963,7.4593987
964,7.12706
966,7.639773
968,7.383607
969,7.837717
971,7.6069674
974,7.7375927
980,7.90097
981,7.226806
982,7.5261784
983,7.5451875
984,7.407077
986,7.1279836
992,7.5527263
993,7.2249565
994,7.3308825
998,7.695225
999,7.6459208
1004,7.784719
1006,7.5086136
1007,7.51819
1011,7.5813546
1012,7.825603
1014,7.254988
1020,7.878605
1021,7.447478
1023,7.4736133
1025,6.9759226
1026,7.2627144
1027,7.6579447
1033,7.753115
1034,7.047503
1038,7.712604
1040,7.376534
1043,7.1951585
1045,7.966779
1046,7.350597
1048,7.362391
1049,7.7412415
1052,7.6068416
1054,7.2048793
1055,7.5224314
1056,7.480911
1058,7.2149177
1060,7.119388
1064,7.0955486
1067,7.530126
1069,6.7093353
1070,7.491232
1072,7.23201
1077,7.229274
1082,7.411854
1086,7.8695273
1091,7.658978
1093,7.4978027
1097,6.9996347
1101,7.247553
1104,7.6264777
1106,7.444176
1107,7.863345
1109,7.2591066
1113,7.3592787
1115,7.212707
1119,7.9337583
1120,7.694784
1123,6.542694
1131,7.4662247
1132,7.496797
1134,7.323469
1136,7.1421347
1137,7.6279826
1138,7.440186
1139,7.4210157
1141,7.7515154
1143,7.382552
1144,7.1258597
1145,7.8006387
1149,7.1019382
1150,7.881688
1153,7.2610593
1155,7.3152847
1160,7.471789
1163,7.267267
1165,7.1066685
1166,7.7729163
1169,7.521211
1172,7.8042207
1173,6.9905305
1175,7.079649
1177,7.898676
1182,7.5839987
1184,7.665872
1186,7.2823906
1188,7.0130506
1193,7.3002076
1196,6.7710123
1198,7.0623646
1199,7.8015084
1202,8.479379
1203,7.5752983
1208,7.8260555
1210,7.274864
1211,7.436455
1213,7.721013
1221,7.8809557
1222,7.139953
1226,7.213979
1227,7.7174573
1229,7.4803953
1230,7.5805964
1231,7.482747
1232,7.365747
1233,7.2207007
1234,7.6828184
1236,7.2938714
1237,7.302669
1241,7.4847703
1242,7.897214
1243,7.656987
1247,7.2554774
1250,7.598934
1251,7.345848
1254,7.628521
1258,7.9126883
1259,7.373951
1260,7.3636065
1262,7.575671
1265,6.928876
1267,7.3041205
1268,6.937822
1270,7.791509
1271,7.4594526
1272,7.471549
1275,7.534274
1276,7.33365
1278,7.7487774
1281,7.5569263
1282,7.278184
1283,7.458658
1284,7.4636736
1286,7.3303366
1288,8.055986
1291,7.4284244
1293,7.6532946
